SERIAL NUMBER,Do you agree to take part in this interview? ,Age (in years) ,Gender ,Education ,Residence Status ,Employment status ,Household financial situation,Years lived in this community,How often do you worry about the following?  [Being robbed in your home ],How often do you worry about the following?  [Being robbed or attacked on the street near your home ],"In the last month, how often have you [Avoided going out during daytime because of fear ]","In the last month, how often have you [Avoided going out at night because of fear ]","In the last month, how often have you [Avoided certain streets or routes ]", How likely do you think the following will happen to you in the next 12 months?  [Your house will be broken into ], How likely do you think the following will happen to you in the next 12 months?  [You will be robbed or attacked in the street ],How safe do you feel ?  [Inside your home at night ],How safe do you feel ?  [?On the street near your home at night ],To what extent do you agree? [The police do a good job of keeping people safe ],To what extent do you agree? [?The police treat people fairly ],To what extent do you agree? [?I can rely on the police when there is a problem ],To what extent do you agree? [The local vigilante or community guards keep people safe ],"In the past 12 months, has anyone attempted to break into your home, or successfully burgled your home? ","If Yes, how many times did this happen in the past 12 months? 
?",Have you or anyone in your household had something stolen,"if yes, how many times did this happen in the past 12 months","In the past 12 months, have you been physically attacked or assaulted? 
?","If Yes, how many times did this happen in the past 12 months? ",Has a close friend or family member experienced any of these in the last 12 months? ,"If Yes, how many times did this happen in the past 12 months?  2",How often do you hear about crime happening to people you know? ,Did you report the most recent incident to any authority or security actor? ,Who did you report it to? (Tick all that apply) ,"If you did not report it, why? (Tick all that apply) ",How much of a problem are the following in your community?  [Poor street lighting ],How much of a problem are the following in your community?  [Abandoned or unfinished buildings ],How much of a problem are the following in your community?  [Groups of young men hanging around],How much of a problem are the following in your community?  [Open drainage or flooding],Agreement level on community trust:  [People in this community can be trusted],Agreement level on community trust:  [People here are willing to help each other ],"Agreement level on community trust:  [?If there is trouble, people will intervene]",Street Name 2,Is there a functioning streetlight near the respondent’s house?,Is there a shop or commercial outlet attached to the respondent’s house? ,Type of street ,Is there a footpath beside or behind the respondent’s house linking to another street? ,Are most houses on this street fenced? ,General condition of buildings on this street ,Visible signs of disorder (tick all that apply) ,Presence of informal security structures,Proximity (within ~200m) to key activity nodes (tick all that apply) ,Overall activity level on the street at the time of interview 
id,consent,age,gender,education,residence,employment,income,years_resident,worry_home,worry_street,avoid_day,avoid_night,avoid_route,risk_home,risk_street,safe_home,safe_street,police_safe,police_fair,police_rely,vigilante_safe,burglary,burglary_count,theft,theft_count,assault,assault_count,vicarious_victim,vicarious_count,crime_heard,reported,reported_to,nonreport_reason,light_prob,building_prob,gang_prob,drainage_prob,trust_neigh,help_neigh,intervene,street_name_obs,streetlight_obs,shop_attached,street_type,footpath,fenced,building_cond,disorder_obs,informal_security,activity_node,activity_level
606,Yes,23,Male,Tertiary,Landlord,Student,Struggling,22,1,4,1,4,4,1,1,5,5,1,1,3,4,No,,Yes,Once,No,,No,,Rarely,,,,1,4,1,4,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,Abandoned/ Uncompleted Building,Vigilante Post,Bus stop/motor park,Moderate
607,Yes,31,Female,Secondary,Tenant,Self-Employed,Struggling,1,1,2,2,2,2,2,1,2,2,1,1,1,2,No,,No,,No,,No,,Very Often,,,,1,1,1,1,1,1,1,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,None,None,None,Quiet
608,Yes,37,Female,Secondary,Tenant,Unemployed,Struggling,7,1,1,1,1,1,2,2,2,2,3,3,3,1,No,,No,,No,,No,,Rarely,,,,1,2,3,3,1,1,1,NA,Not sure,No,Alleyway,Yes,No,Poor,"Litter, Open drainage",None,None,Very Quiet
609,Yes,20,Female,None,Tenant,Student,Comfortable,3,1,1,1,1,1,1,1,4,4,1,1,1,1,No,,No,,No,,No,,Rarely,,,,1,2,1,1,1,1,1,NA,No,Not sure,Major Road,Yes,Mixed,Fair,None,None,None,Moderate
610,Yes,35,Female,Tertiary,Tenant,Student,Comfortable,9,1,1,1,1,1,1,1,4,4,1,1,1,1,No,,No,,No,,Yes,Once,Rarely,,,,1,2,1,1,1,1,1,NA,Yes,Yes,Major Road,Yes,No,Good,None,None,Bus stop/motor park,Busy
611,Yes,24,Female,Secondary,Tenant,Self-Employed,Just getting by,10,1,1,1,1,1,1,1,4,4,1,1,1,1,No,,Yes,Once,No,,Yes,,Sometimes,,,,1,2,1,1,1,1,1,NA,Not sure,Yes,Residential Area,No,No,Good,Open drainage,Community Gate,Bus stop/motor park,Busy
612,Yes,32,Female,Tertiary,Tenant,Self-Employed,Comfortable,5,1,1,1,1,1,1,5,1,1,1,1,1,5,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,1,1,5,NA,Not sure,Yes,Residential Area,No,No,Good,Open drainage,Community Gate,Bus stop/motor park,Busy
613,Yes,30,Female,Tertiary,Tenant,Self-Employed,Just getting by,1,1,1,1,1,1,1,5,1,1,5,1,5,5,No,,No,,No,,No,,Often,,,,1,1,4,1,1,1,5,NA,Not sure,Yes,Residential Area,No,No,Good,Open drainage,Community Gate,Bus stop/motor park,Busy
614,Yes,27,Female,Secondary,Tenant,Self-Employed,Just getting by,2,1,1,1,1,1,1,1,5,5,5,5,5,5,No,,No,,No,,No,,Never,,,,1,1,1,2,5,5,5,NA,Yes,No,Residential Area,No,No,Good,Open drainage,Community Gate,Bus stop/motor park,Quiet
615,Yes,26,Male,Secondary,Tenant,Self-Employed,Struggling,1,1,1,1,1,1,2,2,3,3,5,4,1,5,No,,No,,No,,No,,Sometimes,,,,2,1,1,1,4,4,4,NA,No,No,Residential Area,No,Yes,Good,None,None,None,Moderate
616,Yes,19,Female,Secondary,Tenant,Employed,Comfortable,10,1,1,2,2,1,1,1,5,5,1,1,2,5,No,,No,,No,,No,,Very Often,,,,1,1,2,1,1,5,5,NA,No,Yes,Residential Area,No,Yes,Good,None,None,Bars/viewing centres,Quiet
617,Yes,24,Male,Secondary,Tenant,Unemployed,Struggling,5,1,1,1,1,2,1,1,5,5,3,3,3,5,No,,No,,No,,No,,Rarely,,,,3,1,2,2,4,4,4,NA,No,Yes,Residential Area,No,No,Good,Open drainage,Community Gate,Bars/viewing centres,Quiet
618,Yes,27,Male,Secondary,Tenant,Self-Employed,Struggling,2,1,1,1,1,1,1,1,5,5,5,5,5,5,No,,No,,No,,No,,Never,,,,1,1,1,2,5,5,5,NA,Yes,No,Residential Area,No,Yes,Good,Open drainage,Community Gate,Bus stop/motor park,Quiet
619,Yes,30,Male,Secondary,Tenant,Self-Employed,Struggling,30,1,1,1,1,1,1,1,5,5,1,1,1,5,No,,No,,No,,No,,Never,,,,1,1,1,4,5,5,5,NA,Yes,Yes,Residential Area,No,Yes,Good,None,Both,Major market,Quiet
620,Yes,36,Female,Tertiary,Tenant,Self-Employed,Comfortable,3,1,1,1,1,1,1,1,4,4,2,2,2,3,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,1,1,1,NA,Yes, No,Residential Area,No,Yes,Good,None,None,Bus stop/motor park,Very Busy
621,Yes,25,Female,Secondary,Tenant,Self-Employed,Just getting by,2,1,1,1,1,1,1,1,5,5,1,1,1,3,No,,No,,No,,No,,Rarely,,,,1,1,1,2,3,5,5,NA,Yes, No,Residential Area,Yes,Yes,Fair,Open drainage,Community Gate,None,Quiet
622,Yes,26,Male,Secondary,Tenant,Self-Employed,Just getting by,9,1,1,1,1,1,1,1,5,5,1,1,1,4,No,,No,,No,,No,,Rarely,,,,4,1,2,2,2,2,4,NA,No, No,Residential Area,No,Yes,Good,Open drainage,Community Gate,Bars/viewing centres,Quiet
623,Yes,37,Female,Secondary,Tenant,Self-Employed,Just getting by,8,1,1,1,1,1,1,1,4,4,1,1,1,5,No,,No,,No,,No,,Often,,,,3,1,1,1,1,1,1,NA,No, No,Residential Area,No,Yes,Good,None,None,Bars/viewing centres,Quiet
624,Yes,32,Male,Primary,Tenant,Unemployed,Just getting by,20,1,1,1,1,1,1,1,5,5,4,4,4,3,No,,No,,No,,No,,Sometimes,,,,3,1,1,1,3,3,3,NA,No, No,Residential Area,No,Yes,Good,Open drainage,None,None,Moderate
625,Yes,45,Female,Secondary,Tenant,Self-Employed,Just getting by,10,1,1,1,1,1,1,1,1,1,5,5,5,3,No,,No,,No,,No,,Sometimes,,,,4,2,2,2,5,5,5,NA,No,Yes,Residential Area,Yes,No,Poor,"Litter, Open drainage",None,Bars/viewing centres,Busy
626,Yes,28,Male,Secondary,Tenant,Self-Employed,Struggling,25,1,1,1,1,1,1,1,1,1,1,1,1,1,No,,No,,No,,No,,Never,,,,1,1,1,1,5,5,5,NA,Yes,No,Residential Area,Yes,No,Good,None,Community Gate,Bars/viewing centres,Quiet
627,Yes,23,Female,Tertiary,Tenant,Self-Employed,Just getting by,21,1,1,1,1,4,2,2,3,3,4,4,3,4,No,,No,,No,,No,,Rarely,,,,1,1,3,4,4,1,4,NA,Yes,Yes,Residential Area,Yes,Yes,Good,None,None,Bus stop/motor park,Moderate
628,Yes,26,Female,Tertiary,Tenant,Self-Employed,Comfortable,3,1,1,1,1,1,1,1,4,4,3,1,3,1,No,,No,,No,,No,,Sometimes,,,,1,1,3,4,4,4,4,NA,Yes,No,Major Road,Yes,No,Good,Open drainage,None,Bus stop/motor park,Busy
629,Yes,57,Male,Tertiary,Tenant,Employed,Comfortable,35,1,1,1,1,1,5,5,5,5,4,4,4,1,No,,No,,No,,No,,Rarely,,,,4,1,4,4,4,4,4,NA,Yes,No,Major Road,Yes,No,Good,Open drainage,None,Bus stop/motor park,Busy
630,Yes,31,Male,Primary,Tenant,Unemployed,Just getting by,17,1,1,1,1,1,1,1,2,2,4,1,4,1,No,,No,,No,,No,,Sometimes,,,,3,1,1,3,4,4,4,NA,Yes,No,Major Road,Yes,No,Good,Open drainage,None,Bus stop/motor park,Busy
631,Yes,35,Male,Tertiary,Tenant,Employed,Comfortable,8,1,1,1,1,3,2,2,4,4,4,1,1,3,No,,No,,No,,No,,Sometimes,,,,1,1,3,3,4,4,1,NA,Yes,No,Major Road,Yes,No,Good,Open drainage,None,Bus stop/motor park,Busy
632,Yes,22,Male,Tertiary,Tenant,Unemployed,Struggling,22,1,1,1,1,1,1,1,5,5,2,2,2,1,No,,No,,No,,No,,Rarely,,,,1,1,1,4,4,4,4,NA,Yes,No,Major Road,Yes,Yes,Good,None,None,Bus stop/motor park,Busy
633,Yes,20,Female,Tertiary,Tenant,Unemployed,Just getting by,10,1,1,1,2,2,1,1,2,2,5,4,4,1,No,,No,,No,,No,,Rarely,,,,1,1,4,4,4,4,1,NA,Yes,No,Major Road,Yes,Yes,Good,None,None,Bus stop/motor park,Busy
634,Yes,50,Female,Tertiary,Landlord,Employed,Comfortable,12,1,1,1,1,1,1,1,4,4,5,5,5,1,No,,No,,No,,No,,Rarely,,,,1,1,1,4,4,4,2,NA,Yes,Yes,Major Road,Yes,Mixed,Good,"Open drainage,Abandoned/ Uncompleted Building",None,Bus stop/motor park,Moderate
635,Yes,67,Male,Tertiary,Landlord,Employed,Comfortable,10,1,1,1,3,2,1,1,4,4,5,5,5,3,No,,No,,No,,No,,Rarely,,,,2,2,2,4,4,4,4,NA,Yes,Yes,Major Road,Yes,Mixed,Good,"Open drainage,Abandoned/ Uncompleted Building",None,Bus stop/motor park,Moderate
636,Yes,45,Male,Tertiary,Tenant,Employed,Comfortable,5,1,1,1,1,1,1,1,4,4,5,5,5,3,No,,No,,No,,No,,Rarely,,,,1,1,1,4,4,4,4,NA,Yes,No,Major Road,Yes,Yes,Fair,Open drainage,None,Bus stop/motor park,Busy
637,Yes,28,Female,Tertiary,Tenant,Employed,Comfortable,2,1,1,1,1,3,1,1,4,4,2,2,2,4,No,,No,,No,,No,,Rarely,,,,1,1,1,4,4,4,4,NA,Yes,No,Major Road,Yes,Mixed,Fair,Litter,Vigilante Post,Bus stop/motor park,Moderate
638,Yes,32,Male,Tertiary,Tenant,Employed,Comfortable,18,1,1,1,1,3,1,1,4,4,5,5,5,1,No,,No,,No,,No,,Rarely,,,,1,1,1,3,4,4,1,NA,Yes,No,Major Road,Yes,Mixed,Fair,Litter,Vigilante Post,Bus stop/motor park,Moderate
639,Yes,68,Male,Secondary,Landlord,Employed,Comfortable,45,1,1,1,1,1,1,1,4,4,5,5,3,2,No,,No,,No,,No,,Rarely,,,,1,1,1,1,4,4,3,NA,Yes,No,Major Road,Yes,Mixed,Good,Litter,None,Bus stop/motor park,Very Busy
640,Yes,18,Female,Tertiary,Landlord,Student,Just getting by,7,1,1,1,4,1,1,1,1,3,3,3,1,2,No,,Yes,Thrice,No,,No,,Sometimes,,,,3,2,4,1,2,1,3,NA,Yes,No,Residential Area,Yes,No,Fair,Litter,Vigilante Post,"Major market,Bars/viewing centres,Bus stop/motor park",Moderate
641,Yes,30,Female,Tertiary,Tenant,Employed,Comfortable,14,1,3,1,4,4,1,1,1,1,4,4,4,1,No,,No,,No,,No,,Sometimes,,,,1,1,3,4,4,1,4,NA,Yes,No,Major Road,Yes,No,Good,Litter,None,"Bars/viewing centres,Bus stop/motor park",Moderate
642,Yes,33,Male,Tertiary,Tenant,Employed,Comfortable,19,1,1,1,2,1,2,2,4,4,3,3,2,4,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,Litter,None,Bus stop/motor park,Busy
643,Yes,50,Male,Tertiary,Tenant,Employed,Comfortable,10,1,1,1,1,1,5,5,5,5,1,1,1,5,No,,No,,No,,Yes,,Sometimes,Yes,Vigilante,,4,4,4,4,5,5,5,NA,No,No,Footpath,No,No,Poor,Litter,Community gate,Bus stop/motor park,Moderate
644,Yes,36,Female,Secondary,Tenant,Self-Employed,Comfortable,30,1,1,1,1,1,1,1,5,5,2,2,2,4,No,,No,,No,,No,,Never,,,,1,1,1,4,5,5,5,NA,Not sure,Yes,No,No,Mixed,Poor,Litter,Community gate,Bus stop/motor park,Moderate
645,Yes,30,Male,Secondary,Tenant,Self-Employed,Just getting by,5,1,1,1,5,4,1,1,4,4,1,1,1,3,No,,No,,No,,No,,Sometimes,,,,3,2,4,1,3,3,3,NA,No,Yes,Major Road,No,No,Fair,Litter,None,Bus stop/motor park,Busy
646,Yes,40,Female,Tertiary,Tenant,Self-Employed,Struggling,15,5,2,5,1,1,1,3,3,2,2,1,1,4,No,,No,,No,,No,,Sometimes,,,,4,1,2,3,1,3,4,NA,No,Yes,Footpath,No,No,Poor,"Litter, Open drainage",None,"Major market,Bars/viewing centres,Bus stop/motor park",Moderate
647,Yes,37,Female,Secondary,Tenant,Self-Employed,Struggling,4,1,1,2,2,1,1,5,5,4,4,4,4,5,No,,No,,No,,No,,Rarely,,,,1,1,1,2,2,2,3,NA,Yes,No,Residential Area,No,No,Fair,Open drainage,None,"Major market,Bars/viewing centres,Bus stop/motor park",Moderate
648,Yes,36,Female,Tertiary,Tenant,Self-Employed,Comfortable,2,1,1,2,2,4,4,4,1,1,1,1,1,3,No,,No,,No,,No,,Sometimes,,,,2,1,1,1,1,1,1,NA,No,No,Residential Area,No,Mixed,Fair,Open drainage,None,Bus stop/motor park,Moderate
649,Yes,28,Female,Tertiary,Tenant,Self-Employed,Just getting by,5,1,1,1,1,1,1,1,1,1,5,5,5,5,No,,No,,No,,No,,Rarely,,,,1,1,1,2,5,5,5,NA,Yes,Yes,Residential Area,Yes,Yes,Good,Open drainage,None,",Bars/viewing centres",Moderate
650,Yes,24,Female,Tertiary,Tenant,Self-Employed,Struggling,24,2,1,2,2,1,1,4,3,1,1,1,1,3,No,,Yes,Once,No,,No,,Rarely,,,,1,1,1,1,5,5,5,NA,Yes,Yes,Residential Area,Yes,Yes,Good,Open drainage,None,",Bars/viewing centres",Moderate
651,Yes,46,Male,Secondary,Tenant,Self-Employed,Just getting by,15,5,5,1,1,1,3,2,3,3,5,5,5,1,No,,No,,No,,No,,Sometimes,,,,4,2,1,2,4,1,1,NA,No,Yes,Major Road,No,No,Poor,Litter,None,None,Moderate
652,Yes,48,Female,Tertiary,Tenant,Self-Employed,Comfortable,45,1,1,1,1,1,1,1,5,5,3,2,2,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,2,3,2,NA,No,No,Residential Area,No,No,Fair,Litter,Vigilante Post,Bus stop/motor park,Busy
653,Yes,31,Male,Secondary,Tenant,Self-Employed,Just getting by,26,1,1,1,1,1,1,1,5,5,4,3,2,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,2,3,1,NA,No,Yes,Residential Area,No,Mixed,Fair,"Litter, Open drainage",Community gate,Bus stop/motor park,Moderate
654,Yes,42,Female,Tertiary,Tenant,Self-Employed,Comfortable,13,1,1,1,1,1,1,1,5,5,4,3,3,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,2,3,2,NA,No,Yes,Residential Area,No,No,Fair,"Litter, Open drainage",Community gate,None,Moderate
655,Yes,29,Male,Tertiary,Tenant,Self-Employed,Comfortable,28,1,1,1,1,1,1,1,5,5,4,3,2,3,No,,No,,No,,No,,Rarely,,,,4,1,1,1,2,3,3,NA,No,Yes,Residential Area,No,No,Fair,"Litter, Open drainage",Community gate,Bars/viewing centres,Busy
656,Yes,28,Male,Tertiary,Tenant,Self-Employed,Just getting by,14,1,1,1,1,1,1,1,5,5,4,3,3,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,4,3,4,NA,No,Yes,Residential Area,No,No,Fair,Open drainage,Community gate,Bus stop/motor park,Quiet
657,Yes,43,Male,Secondary,Tenant,Self-Employed,Comfortable,42,1,1,1,1,1,1,1,5,5,3,2,2,4,No,,No,,No,,No,,Rarely,,,,4,1,1,1,2,1,2,NA,No,Yes,Residential Area,Yes,Mixed,Fair,Open drainage,Community gate,Bus stop/motor park,Busy
658,Yes,52,Female,Secondary,Tenant,Self-Employed,Comfortable,3,1,1,1,1,1,1,1,5,5,3,2,1,1,No,,No,,No,,No,,Rarely,,,,4,1,1,1,2,3,2,NA,No,Yes,Residential Area,Yes,Mixed,Fair,"Litter, Open drainage",Community gate,None,Moderate
659,Yes,22,Female,Secondary,Tenant,Employed,Comfortable,20,1,1,1,1,1,1,1,4,4,2,2,2,3,No,,No,,No,,No,,Sometimes,,,,1,1,4,1,4,4,4,NA,Yes,Yes,Residential Area,Yes,Mixed,Fair,Litter,None,None,Busy
660,Yes,24,Female,Secondary,Tenant,Student,Comfortable,3,1,1,1,1,1,4,4,4,4,4,4,4,1,No,,No,,Yes,,Yes,,Sometimes,,,,1,1,4,1,5,5,5,NA,Yes,Yes,Residential Area,Yes,Yes,Fair,Litter,None,None,Moderate
661,Yes,26,Male,Primary,Tenant,Self-Employed,Comfortable,18,1,1,1,1,1,2,2,4,4,5,5,5,1,No,,No,,Yes,,Yes,,Rarely,,,,4,1,1,1,2,2,2,NA,Yes,No,Residential Area,Yes,Mixed,Good,Litter,None,Bus stop/motor park,Moderate
662,Yes,36,Male,None,Tenant,Self-Employed,Just getting by,30,1,1,1,1,1,2,2,2,2,4,4,4,5,No,,No,,No,,No,,Sometimes,,,,1,2,1,1,4,4,4,NA,Yes,Yes,Residential Area,Yes,Yes,Good,"Litter, Open drainage",None,Bus stop/motor park,Moderate
663,Yes,40,Male,Secondary,Tenant,Self-Employed,Just getting by,33,1,1,1,1,1,1,1,1,1,2,2,2,4,No,,No,,No,,No,,Sometimes,,,,4,1,1,1,1,1,1,NA,Yes,Yes,Residential Area,Yes,Yes,Good,"Litter, Open drainage",None,Bus stop/motor park,Moderate
664,Yes,24,Female,Secondary,Tenant,Self-Employed,Just getting by,15,1,1,1,1,1,2,2,3,3,1,1,1,4,No,,No,,No,,No,,Sometimes,,,,2,1,1,1,1,1,1,NA,Yes,Yes,Residential Area,No,Yes,Good,Litter,None,None,Moderate
665,Yes,48,Male,Tertiary,Landlord,Self-Employed,Comfortable,41,1,1,1,1,1,3,3,4,4,2,2,1,4,No,,No,,Yes,1,No,,Sometimes,,"Police, Vigilante, Community leader",,1,4,4,2,3,2,2,NA,Yes,Yes,Residential Area,No,Yes,Good,"Litter, Open drainage",community gate,None,Busy
666,Yes,35,Female,Secondary,Tenant,Self-Employed,Just getting by,17,1,1,1,1,1,2,2,2,2,4,4,4,4,No,,No,,No,,No,,Sometimes,,,,1,1,1,1,2,1,3,NA,Yes,Yes,Residential Area,Yes,Mixed,Good,"Litter, Open drainage",community gate,bars/viewing centers,Busy
667,Yes,26,Male,Tertiary,Tenant,Student,Just getting by,26,1,1,1,1,1,2,2,4,4,4,4,4,4,No,,No,,Yes,1,No,,Sometimes,no,,,1,1,1,1,2,1,2,NA,Yes,Yes,Residential Area,Not sure,Yes,Fair,litter,community gate,Bus stop/motor park,Moderate
668,Yes,33,Female,Tertiary,Tenant,Self-Employed,Comfortable,14,1,1,1,1,1,2,2,4,4,4,4,4,4,no,,No,,No,,No,,Sometimes,,,,1,1,1,2,2,1,2,NA,Yes,Yes,Residential Area,Yes,Yes,Good,litter,None,Bus stop/motor park,Busy
